Id,Id2,Geography,Pop,Moe
1400000US35001000107,35001000107,"Census Tract 1.07, Bernalillo County, New Mexico",2551,156
1400000US35001000108,35001000108,"Census Tract 1.08, Bernalillo County, New Mexico",2875,175
1400000US35001000109,35001000109,"Census Tract 1.09, Bernalillo County, New Mexico",2664,262
1400000US35001000110,35001000110,"Census Tract 1.10, Bernalillo County, New Mexico",3959,296
1400000US35001000111,35001000111,"Census Tract 1.11, Bernalillo County, New Mexico",2891,245
1400000US35001000112,35001000112,"Census Tract 1.12, Bernalillo County, New Mexico",2024,200
1400000US35001000113,35001000113,"Census Tract 1.13, Bernalillo County, New Mexico",3292,361
1400000US35001000114,35001000114,"Census Tract 1.14, Bernalillo County, New Mexico",3246,278
1400000US35001000115,35001000115,"Census Tract 1.15, Bernalillo County, New Mexico",3222,384
1400000US35001000116,35001000116,"Census Tract 1.16, Bernalillo County, New Mexico",3105,239
1400000US35001000117,35001000117,"Census Tract 1.17, Bernalillo County, New Mexico",2303,143
1400000US35001000118,35001000118,"Census Tract 1.18, Bernalillo County, New Mexico",2661,310
1400000US35001000119,35001000119,"Census Tract 1.19, Bernalillo County, New Mexico",1913,122
1400000US35001000120,35001000120,"Census Tract 1.20, Bernalillo County, New Mexico",2706,388
1400000US35001000121,35001000121,"Census Tract 1.21, Bernalillo County, New Mexico",5959,576
1400000US35001000122,35001000122,"Census Tract 1.22, Bernalillo County, New Mexico",4230,440
1400000US35001000123,35001000123,"Census Tract 1.23, Bernalillo County, New Mexico",4740,568
1400000US35001000124,35001000124,"Census Tract 1.24, Bernalillo County, New Mexico",3480,435
1400000US35001000125,35001000125,"Census Tract 1.25, Bernalillo County, New Mexico",4088,237
1400000US35001000126,35001000126,"Census Tract 1.26, Bernalillo County, New Mexico",2735,309
1400000US35001000127,35001000127,"Census Tract 1.27, Bernalillo County, New Mexico",2893,356
1400000US35001000128,35001000128,"Census Tract 1.28, Bernalillo County, New Mexico",3006,326
1400000US35001000129,35001000129,"Census Tract 1.29, Bernalillo County, New Mexico",4494,504
1400000US35001000203,35001000203,"Census Tract 2.03, Bernalillo County, New Mexico",1952,144
1400000US35001000204,35001000204,"Census Tract 2.04, Bernalillo County, New Mexico",2981,302
1400000US35001000205,35001000205,"Census Tract 2.05, Bernalillo County, New Mexico",2897,270
